areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E07000041,Exeter,ltla,2020-11-24,,,21
E07000041,Exeter,ltla,2020-11-23,,,31
E07000041,Exeter,ltla,2020-11-22,,,10
E07000041,Exeter,ltla,2020-11-21,,,12
E07000041,Exeter,ltla,2020-11-20,,,19
E07000041,Exeter,ltla,2020-11-19,,,27
E07000041,Exeter,ltla,2020-11-18,,,30
E07000041,Exeter,ltla,2020-11-17,,,26
E07000041,Exeter,ltla,2020-11-16,,,30
E07000041,Exeter,ltla,2020-11-15,,,27
E07000041,Exeter,ltla,2020-11-14,,,23
E07000041,Exeter,ltla,2020-11-13,,,32
E07000041,Exeter,ltla,2020-11-12,,,38
E07000041,Exeter,ltla,2020-11-11,,,27
E07000041,Exeter,ltla,2020-11-10,,,44
E07000041,Exeter,ltla,2020-11-09,,,36
E07000041,Exeter,ltla,2020-11-08,,,24
E07000041,Exeter,ltla,2020-11-07,,,22
E07000041,Exeter,ltla,2020-11-06,,,28
E07000041,Exeter,ltla,2020-11-05,,,24
E07000041,Exeter,ltla,2020-11-04,,,32
E07000041,Exeter,ltla,2020-11-03,,,24
E07000041,Exeter,ltla,2020-11-02,,,31
E07000041,Exeter,ltla,2020-11-01,,,17
E07000041,Exeter,ltla,2020-10-31,,,18
E07000041,Exeter,ltla,2020-10-30,,,23
E07000041,Exeter,ltla,2020-10-29,,,25
E07000041,Exeter,ltla,2020-10-28,,,25
E07000041,Exeter,ltla,2020-10-27,,,28
E07000041,Exeter,ltla,2020-10-26,,,23
E07000041,Exeter,ltla,2020-10-25,,,15
E07000041,Exeter,ltla,2020-10-24,,,12
E07000041,Exeter,ltla,2020-10-23,,,28
E07000041,Exeter,ltla,2020-10-22,,,31
E07000041,Exeter,ltla,2020-10-21,,,28
E07000041,Exeter,ltla,2020-10-20,,,35
E07000041,Exeter,ltla,2020-10-19,,,33
E07000041,Exeter,ltla,2020-10-18,,,28
E07000041,Exeter,ltla,2020-10-17,,,24
E07000041,Exeter,ltla,2020-10-16,,,30
E07000041,Exeter,ltla,2020-10-15,,,23
E07000041,Exeter,ltla,2020-10-14,,,43
E07000041,Exeter,ltla,2020-10-13,,,52
E07000041,Exeter,ltla,2020-10-12,,,51
E07000041,Exeter,ltla,2020-10-11,,,54
E07000041,Exeter,ltla,2020-10-10,,,42
E07000041,Exeter,ltla,2020-10-09,,,62
E07000041,Exeter,ltla,2020-10-08,,,78
E07000041,Exeter,ltla,2020-10-07,,,82
E07000041,Exeter,ltla,2020-10-06,,,71
E07000041,Exeter,ltla,2020-10-05,,,113
E07000041,Exeter,ltla,2020-10-04,,,65
E07000041,Exeter,ltla,2020-10-03,,,44
E07000041,Exeter,ltla,2020-10-02,,,73
E07000041,Exeter,ltla,2020-10-01,,,87
E07000041,Exeter,ltla,2020-09-30,,,119
E07000041,Exeter,ltla,2020-09-29,,,30
E07000041,Exeter,ltla,2020-09-28,,,38
E07000041,Exeter,ltla,2020-09-27,,,13
E07000041,Exeter,ltla,2020-09-26,,,9
E07000041,Exeter,ltla,2020-09-25,,,13
E07000041,Exeter,ltla,2020-09-24,,,22
E07000041,Exeter,ltla,2020-09-23,,,1
E07000041,Exeter,ltla,2020-09-22,,,19
E07000041,Exeter,ltla,2020-09-21,,,4
E07000041,Exeter,ltla,2020-09-20,,,14
E07000041,Exeter,ltla,2020-09-19,,,4
E07000041,Exeter,ltla,2020-09-18,,,5
E07000041,Exeter,ltla,2020-09-17,,,1
E07000041,Exeter,ltla,2020-09-16,,,2
E07000041,Exeter,ltla,2020-09-15,,,1
E07000041,Exeter,ltla,2020-09-14,,,2
E07000041,Exeter,ltla,2020-09-13,,,0
E07000041,Exeter,ltla,2020-09-12,,,0
E07000041,Exeter,ltla,2020-09-11,,,1
E07000041,Exeter,ltla,2020-09-10,,,2
E07000041,Exeter,ltla,2020-09-09,,,1
E07000041,Exeter,ltla,2020-09-08,,,0
E07000041,Exeter,ltla,2020-09-07,,,0
E07000041,Exeter,ltla,2020-09-06,,,2
E07000041,Exeter,ltla,2020-09-05,,,1
E07000041,Exeter,ltla,2020-09-04,,,5
E07000041,Exeter,ltla,2020-09-03,,,5
E07000041,Exeter,ltla,2020-09-02,,,2
E07000041,Exeter,ltla,2020-09-01,,,1
E07000041,Exeter,ltla,2020-08-31,,,0
E07000041,Exeter,ltla,2020-08-30,,,0
E07000041,Exeter,ltla,2020-08-29,,,0
E07000041,Exeter,ltla,2020-08-28,,,4
E07000041,Exeter,ltla,2020-08-27,,,2
E07000041,Exeter,ltla,2020-08-26,,,3
E07000041,Exeter,ltla,2020-08-25,,,0
E07000041,Exeter,ltla,2020-08-24,,,0
E07000041,Exeter,ltla,2020-08-23,,,0
E07000041,Exeter,ltla,2020-08-22,,,1
E07000041,Exeter,ltla,2020-08-21,,,2
E07000041,Exeter,ltla,2020-08-20,,,1
E07000041,Exeter,ltla,2020-08-19,,,5
E07000041,Exeter,ltla,2020-08-18,,,0
E07000041,Exeter,ltla,2020-08-17,,,1
E07000041,Exeter,ltla,2020-08-16,,,0
E07000041,Exeter,ltla,2020-08-15,,,0
E07000041,Exeter,ltla,2020-08-14,,,1
E07000041,Exeter,ltla,2020-08-13,,,0
E07000041,Exeter,ltla,2020-08-12,,,0
E07000041,Exeter,ltla,2020-08-11,,,0
E07000041,Exeter,ltla,2020-08-10,,,1
E07000041,Exeter,ltla,2020-08-09,,,1
E07000041,Exeter,ltla,2020-08-08,,,0
E07000041,Exeter,ltla,2020-08-07,,,1
E07000041,Exeter,ltla,2020-08-06,,,0
E07000041,Exeter,ltla,2020-08-05,,,0
E07000041,Exeter,ltla,2020-08-04,,,0
E07000041,Exeter,ltla,2020-08-03,,,0
